Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Activity
-9.765625,52.978516,1046.264648,13.345543,-15.624325,1.190546,2
-912.902832,-5.065918,-309.814453,-3.311157,0.015259,-0.297546,1
-1645.446777,-268.493652,-52.307129,129.821777,90.309143,30.677795,3
-68.603516,-96.801758,1032.592773,-15.501198,10.559757,0.38183,2
5.004883,-107.055664,1029.47998,3.030602,33.302982,0.984553,2
34.973145,-16.113281,865.478516,15.321556,5.799015,13.100031,2
-145.751953,213.500977,-395.996094,70.610046,-27.503967,-68.069458,3
-1178.771973,-281.37207,159.667969,-47.294617,22.079468,31.532288,3
-910.339355,-1.342773,-315.612793,2.838135,-1.708984,-0.228882,1
723.571777,-172.790527,49.743652,-61.36322,4.53949,-10.3302,3
-139.099121,-118.469238,1006.347656,-5.590614,-39.153378,-0.510809,2
56.945801,-68.054199,1102.478027,9.752098,-0.518124,0.328425,2
-136.535645,57.006836,841.61377,10.759178,19.455631,-11.100409,2
-67.199707,169.799805,-255.432129,-54.039001,-23.094177,28.808594,3
-914.0625,5.67627,-323.059082,4.737854,0.030518,0.457764,1
-8.178711,-47.485352,1028.747559,-26.464638,13.306339,4.082087,2
-117.675781,9.70459,843.200684,12.582603,16.808231,-13.73255,2
-79.956055,-57.006836,1079.223633,18.480125,-8.391659,1.083735,2
99.975586,-137.451172,1026.611328,-12.212929,19.47089,-12.405035,2
-1265.808105,-26.977539,338.07373,52.093506,38.490295,-32.699585,3
-1443.237305,-444.335938,586.608887,-35.713196,53.344727,42.46521,3
41.320801,108.032227,966.369629,3.869835,0.496586,-17.577765,2
-306.945801,54.077148,-698.608398,26.565552,-24.543762,-47.836304,3
239.257812,269.287109,125.183105,-2.838135,-53.794861,3.051758,3
-266.662598,222.717285,-40.039062,-14.396667,-18.028259,21.369934,3
-255.493164,76.293945,171.813965,-71.968079,-15.24353,14.823914,3
-1192.626953,-369.506836,339.111328,-44.822693,19.309998,16.38031,3
-2000,396.118164,123.779297,20.713806,91.369629,-17.791748,3
-10.925293,-85.571289,992.614746,-18.133339,11.139591,1.495722,2
-134.887695,-93.62793,975.891113,43.12307,-6.888668,-5.126593,2
-633.361816,-897.399902,368.469238,89.637756,72.952271,72.647095,3
-1467.468262,-323.852539,274.597168,34.164429,72.784424,-29.205322,3
211.242676,58.044434,987.060547,-10.893044,-12.267391,-19.416449,2
-1527.282715,248.962402,559.204102,98.762512,-69.908142,-61.660767,3
31.066895,57.678223,1005.554199,13.162437,-0.197689,-11.771795,2
-451.965332,13.671875,57.128906,-62.919617,9.94873,22.521973,3
376.403809,-74.768066,-189.025879,-20.53833,-22.422791,21.347046,3
-2000,-964.782715,164.794922,-70.892334,17.593384,124.420166,3
-913.269043,1.281738,-307.128906,-4.249573,-0.022888,-0.114441,1
-74.645996,-74.951172,976.623535,-11.808571,-4.203121,12.98559,2
-155.395508,-110.900879,962.524414,-3.843483,-17.623226,11.398676,2
47.546387,-34.423828,1072.08252,1.1614,-22.025387,15.648249,2
48.095703,31.005859,998.046875,-11.953529,-4.294674,-18.752691,2
142.028809,41.442871,929.443359,17.236534,5.73035,-10.596869,2
-909.423828,-4.577637,-318.359375,0.717163,-2.365112,-0.007629,1
-643.249512,533.813477,-1085.693359,84.228516,-42.358398,-86.486816,3
32.165527,-40.710449,1076.049805,0.604454,-17.623226,15.831354,2
-56.45752,-44.128418,938.293457,-0.333961,-11.824886,14.442804,2
-12.756348,-84.350586,993.286133,-14.158424,11.757572,3.53277,2
-69.763184,6.286621,1088.623047,19.716087,-0.747006,1.709345,2
-1450.439453,-197.692871,119.506836,-6.950378,81.306458,-24.848938,3
-907.775879,-7.202148,-309.936523,-4.013062,-0.518799,0.106812,1
-111.694336,-121.21582,970.092773,-10.969337,17.33466,-7.209417,2
-31.982422,119.384766,838.806152,-2.447304,4.883488,-20.164129,2
-383.422852,260.131836,-444.458008,72.059631,31.181335,-111.13739,3
13.244629,29.11377,1025.756836,27.162376,-6.957333,-16.692755,2
26.000977,-112.426758,1142.333984,13.322655,0.31348,4.082087,2
-2000,522.277832,356.628418,23.742676,26.123047,-35.446167,3
24.291992,-76.904297,1019.40918,-5.872902,22.293766,6.43194,2
374.938965,248.901367,54.870605,20.317078,-49.499512,-34.14917,3
71.044922,-146.30127,1040.771484,-15.684303,19.135197,-11.626837,2
-121.337891,25.512695,1127.319336,6.051842,2.503117,5.241755,2
-906.738281,-4.333496,-320.129395,-2.487183,-3.158569,-0.679016,1
488.342285,-24.414062,-223.205566,-86.837769,76.721191,-6.156921,3
-2000,41.19873,-398.071289,34.446716,94.085693,29.525757,3
145.446777,32.836914,896.850586,14.253441,3.906925,-9.559271,2
-1275.32959,-566.467285,451.782227,-25.390625,-6.004333,33.195496,3
-1912.414551,-384.94873,-50.476074,-83.480835,-136.772156,-9.788513,3
-2000,199.890137,-661.743164,-103.225708,21.980286,48.141479,3
-736.694336,332.885742,-1302.185059,-32.325745,-36.91864,-77.140808,3
-118.652344,93.383789,854.675293,8.569542,14.328678,-11.07752,2
-102.661133,-160.15625,1043.640137,16.679588,1.908024,-5.40888,2
-114.807129,-133.483887,-757.507324,15.731812,22.895813,-42.610168,3
57.861328,-113.769531,1139.526367,11.316124,1.908024,4.318598,2
209.411621,94.238281,878.78418,-17.309364,-15.197079,-19.607183,2
-0.366211,53.527832,997.558594,6.845299,-11.458675,-5.370733,2
89.72168,-9.216309,1054.382324,4.289452,-15.990536,12.794855,2
101.44043,-106.689453,1132.69043,9.309593,1.366337,5.104425,2
-1413.513184,-151.672363,148.925781,-36.201477,67.970276,-52.688599,3
-1822.32666,99.731445,-49.01123,47.416687,36.613464,-15.785217,3
-22.033691,-67.565918,1002.746582,-11.007484,25.047977,2.678278,2
58.47168,62.62207,-250.488281,-62.973022,-32.218933,36.560059,3
-1607.788086,452.697754,505.92041,50.437927,-64.064026,-95.878601,3
-911.071777,-5.065918,-322.021484,2.075195,-2.349854,0.183105,1
-1365.17334,305.786133,451.843262,30.967712,-21.591187,-48.118591,3
377.685547,113.464355,117.858887,20.751953,0.221252,-26.176453,3
11.474609,-63.903809,1103.271484,3.854576,2.754887,5.348566,2
2.319336,-57.312012,1073.669434,13.810936,-8.384029,1.945856,2
-205.993652,-36.315918,931.45752,-1.585182,-20.079891,-5.965826,2
-6.103516,-108.764648,1129.150391,14.283958,-4.59222,3.181818,2
-910.888672,-7.507324,-312.805176,-1.976013,-2.601624,-0.305176,1
-909.729004,0.183105,-325.317383,-0.404358,-2.212524,-0.465393,1
27.46582,78.918457,979.980469,-2.49308,-8.071224,-12.549994,2
-924.377441,-27.770996,-311.035156,1.556396,-1.548767,-0.091553,1
-112.548828,-88.928223,948.120117,-14.997658,-0.113766,14.641169,2
-437.133789,137.145996,-7.507324,-2.929688,-12.176514,24.505615,3
107.116699,68.725586,776.000977,-4.1334,-9.13171,-16.37232,2
383.056641,240.905762,59.143066,-23.246765,-61.294556,-49.835205,3
-42.297363,7.446289,974.182129,20.31118,1.297672,9.590509,2
-126.647949,-3.112793,1154.23584,2.084557,1.793583,5.333307,2
-912.04834,9.521484,-333.007812,-3.479004,1.594543,0.015259,1
-66.894531,-108.398438,953.063965,1.245323,28.214176,-10.764715,2
537.231445,-1.037598,-224.731445,-26.321411,-18.699646,22.918701,3
-1932.434082,-414.733887,-197.44873,-95.092773,-160.400391,-19.78302,3
21.606445,184.509277,1006.408691,9.202782,-23.406307,20.813349,2
-1619.812012,134.155273,756.103516,73.883057,-36.781311,-71.968079,3
12.145996,44.98291,1022.521973,14.886681,-3.661434,-4.478094,2
-2000,-164.306641,-397.766113,-69.976807,-84.228516,6.454468,3
49.072266,3.845215,1023.132324,36.935631,-2.723019,-21.850225,2
-1511.779785,-27.648926,110.534668,-30.265808,-67.314148,14.335632,3
-197.937012,-64.819336,957.885742,-5.796608,-29.990475,2.823236,2
-905.639648,1.403809,-311.279297,3.288269,-3.15094,0.030518,1
11.779785,-123.046875,1045.349121,0.840965,34.157475,-1.197454,2
-913.635254,2.441406,-319.946289,3.044128,-1.51825,-0.076294,1
96.008301,-77.941895,1005.004883,-9.92411,0.054081,-18.043158,2
-925.109863,-2.197266,-325.98877,3.78418,-3.112793,-0.221252,1
40.710449,-88.684082,1141.845703,4.968468,-5.744259,4.92132,2
-908.508301,-6.347656,-316.040039,-1.88446,-2.067566,0.221252,1
-47.973633,-122.924805,1051.574707,-26.495155,9.453495,0.336054,2
406.921387,-117.126465,-28.930664,-13.282776,-12.542725,0.488281,3
-47.241211,-94.177246,1032.409668,8.806053,9.033878,0.099543,2
